
0:	learn: 54.2681490	test: 49.7051477	best: 49.7051477 (0)	total: 53.5ms	remaining: 17m 50s
5462:	learn: 13.8464334	test: 37.5093181	best: 37.4665491 (5376)	total: 9.46s	remaining: 25.2s
5463:	learn: 13.8456518	test: 37.5101380	best: 37.4665491 (5376)	total: 9.46s	remaining: 25.2s
5464:	learn: 13.8447792	test: 37.5127734	best: 37.4665491 (5376)	total: 9.46s	remaining: 25.2s
5465:	learn: 13.8440560	test: 37.5130308	best: 37.4665491 (5376)	total: 9.46s	remaining: 25.2s
5466:	learn: 13.8437034	test: 37.5123122	best: 37.4665491 (5376)	total: 9.46s	remaining: 25.2s
5467:	learn: 13.8418280	test: 37.5113968	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.2s
5468:	learn: 13.8405956	test: 37.5101752	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.2s
5469:	learn: 13.8396113	test: 37.5101866	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.2s
5470:	learn: 13.8386736	test: 37.5098614	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.2s
5471:	learn: 13.8383049	test: 37.5099172	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.1s
5472:	learn: 13.8374052	test: 37.5098615	best: 37.4665491 (5376)	total: 9.47s	remaining: 25.1s
5473:	learn: 13.8362256	test: 37.5104211	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5474:	learn: 13.8359586	test: 37.5155927	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5475:	learn: 13.8352979	test: 37.5131534	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5476:	learn: 13.8340498	test: 37.5131925	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5477:	learn: 13.8338768	test: 37.5133354	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5478:	learn: 13.8334544	test: 37.5122916	best: 37.4665491 (5376)	total: 9.48s	remaining: 25.1s
5479:	learn: 13.8322047	test: 37.5119945	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5480:	learn: 13.8313264	test: 37.5122444	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5481:	learn: 13.8302359	test: 37.5113043	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5482:	learn: 13.8293899	test: 37.5102381	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5483:	learn: 13.8289180	test: 37.5096215	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5484:	learn: 13.8281904	test: 37.5096045	best: 37.4665491 (5376)	total: 9.49s	remaining: 25.1s
5485:	learn: 13.8274310	test: 37.5097274	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5486:	learn: 13.8269843	test: 37.5094258	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5487:	learn: 13.8259442	test: 37.5086404	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5488:	learn: 13.8254684	test: 37.5092340	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5489:	learn: 13.8243285	test: 37.5073001	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5490:	learn: 13.8239994	test: 37.5073082	best: 37.4665491 (5376)	total: 9.5s	remaining: 25.1s
5491:	learn: 13.8225526	test: 37.5050905	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5492:	learn: 13.8217999	test: 37.5047026	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5493:	learn: 13.8204948	test: 37.5046613	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5494:	learn: 13.8197936	test: 37.5048115	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5495:	learn: 13.8185646	test: 37.4933698	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5496:	learn: 13.8171420	test: 37.4909051	best: 37.4665491 (5376)	total: 9.51s	remaining: 25.1s
5497:	learn: 13.8159127	test: 37.4910081	best: 37.4665491 (5376)	total: 9.52s	remaining: 25.1s
5498:	learn: 13.8141858	test: 37.4820520	best: 37.4665491 (5376)	total: 9.52s	remaining: 25.1s
5499:	learn: 13.8132068	test: 37.4826965	best: 37.4665491 (5376)	total: 9.52s	remaining: 25.1s
5500:	learn: 13.8129746	test: 37.4829283	best: 37.4665491 (5376)	total: 9.52s	remaining: 25.1s
5501:	learn: 13.8110895	test: 37.4852424	best: 37.4665491 (5376)	total: 9.52s	remaining: 25.1s
5502:	learn: 13.8097885	test: 37.4842746	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5503:	learn: 13.8090158	test: 37.4836984	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5504:	learn: 13.8076847	test: 37.4858373	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5505:	learn: 13.8074699	test: 37.4851925	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5506:	learn: 13.8058341	test: 37.4855478	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5507:	learn: 13.8045647	test: 37.4853082	best: 37.4665491 (5376)	total: 9.53s	remaining: 25.1s
5508:	learn: 13.8028618	test: 37.4858931	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5509:	learn: 13.8019576	test: 37.4826550	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5510:	learn: 13.8016441	test: 37.4821719	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5511:	learn: 13.8002906	test: 37.4811648	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5512:	learn: 13.7992717	test: 37.4811674	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5513:	learn: 13.7967007	test: 37.4810396	best: 37.4665491 (5376)	total: 9.54s	remaining: 25.1s
5514:	learn: 13.7959875	test: 37.4812294	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5515:	learn: 13.7956557	test: 37.4814151	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5516:	learn: 13.7944214	test: 37.4804910	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5517:	learn: 13.7943234	test: 37.4812148	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5518:	learn: 13.7937626	test: 37.4809843	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5519:	learn: 13.7931576	test: 37.4803249	best: 37.4665491 (5376)	total: 9.55s	remaining: 25.1s
5520:	learn: 13.7926130	test: 37.4788289	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5521:	learn: 13.7909449	test: 37.4781489	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5522:	learn: 13.7892942	test: 37.4784079	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5523:	learn: 13.7873260	test: 37.4705346	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5524:	learn: 13.7866570	test: 37.4694105	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5525:	learn: 13.7856606	test: 37.4690548	best: 37.4665491 (5376)	total: 9.56s	remaining: 25.1s
5526:	learn: 13.7839799	test: 37.4684382	best: 37.4665491 (5376)	total: 9.57s	remaining: 25.1s
5527:	learn: 13.7826929	test: 37.4685393	best: 37.4665491 (5376)	total: 9.57s	remaining: 25s
5528:	learn: 13.7801899	test: 37.4691140	best: 37.4665491 (5376)	total: 9.57s	remaining: 25s
5529:	learn: 13.7787718	test: 37.4839714	best: 37.4665491 (5376)	total: 9.57s	remaining: 25s
5530:	learn: 13.7774939	test: 37.4843297	best: 37.4665491 (5376)	total: 9.57s	remaining: 25s
5531:	learn: 13.7767237	test: 37.4833116	best: 37.4665491 (5376)	total: 9.57s	remaining: 25s
5532:	learn: 13.7757617	test: 37.4831515	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5533:	learn: 13.7746073	test: 37.4848161	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5534:	learn: 13.7733714	test: 37.4856467	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5535:	learn: 13.7726032	test: 37.4852363	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5536:	learn: 13.7716956	test: 37.4851615	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5537:	learn: 13.7711578	test: 37.4847746	best: 37.4665491 (5376)	total: 9.58s	remaining: 25s
5538:	learn: 13.7696041	test: 37.4830620	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5539:	learn: 13.7681951	test: 37.4829210	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5540:	learn: 13.7668900	test: 37.4827246	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5541:	learn: 13.7659294	test: 37.4801349	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5542:	learn: 13.7649866	test: 37.4801465	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5543:	learn: 13.7642152	test: 37.4793190	best: 37.4665491 (5376)	total: 9.59s	remaining: 25s
5544:	learn: 13.7626431	test: 37.4778238	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5545:	learn: 13.7623516	test: 37.4737464	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5546:	learn: 13.7621747	test: 37.4734390	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5547:	learn: 13.7614242	test: 37.4730401	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5548:	learn: 13.7607052	test: 37.4728664	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5549:	learn: 13.7592298	test: 37.4711939	best: 37.4665491 (5376)	total: 9.6s	remaining: 25s
5550:	learn: 13.7575237	test: 37.4713593	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5551:	learn: 13.7566611	test: 37.4711493	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5552:	learn: 13.7546297	test: 37.4718546	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5553:	learn: 13.7534996	test: 37.4726366	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5554:	learn: 13.7529501	test: 37.4728509	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5555:	learn: 13.7527570	test: 37.4773865	best: 37.4665491 (5376)	total: 9.61s	remaining: 25s
5556:	learn: 13.7512889	test: 37.4782334	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5557:	learn: 13.7502525	test: 37.4778205	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5558:	learn: 13.7492127	test: 37.4787066	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5559:	learn: 13.7479544	test: 37.4850307	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5560:	learn: 13.7466967	test: 37.4855484	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5561:	learn: 13.7460786	test: 37.4858069	best: 37.4665491 (5376)	total: 9.62s	remaining: 25s
5562:	learn: 13.7455019	test: 37.4859590	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5563:	learn: 13.7453267	test: 37.4860593	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5564:	learn: 13.7441271	test: 37.4842913	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5565:	learn: 13.7418647	test: 37.4923803	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5566:	learn: 13.7413790	test: 37.4922238	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5567:	learn: 13.7403019	test: 37.4921585	best: 37.4665491 (5376)	total: 9.63s	remaining: 25s
5568:	learn: 13.7394522	test: 37.4914605	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5569:	learn: 13.7379655	test: 37.4888434	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5570:	learn: 13.7370412	test: 37.4895813	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5571:	learn: 13.7355352	test: 37.4891004	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5572:	learn: 13.7338341	test: 37.4892345	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5573:	learn: 13.7321879	test: 37.4890758	best: 37.4665491 (5376)	total: 9.64s	remaining: 25s
5574:	learn: 13.7303064	test: 37.4801555	best: 37.4665491 (5376)	total: 9.65s	remaining: 25s
5575:	learn: 13.7291325	test: 37.4803075	best: 37.4665491 (5376)	total: 9.65s	remaining: 25s
5576:	learn: 13.7274651	test: 37.4804793	best: 37.4665491 (5376)	total: 9.65s	remaining: 25s
5577:	learn: 13.7256385	test: 37.4812864	best: 37.4665491 (5376)	total: 9.65s	remaining: 25s
5578:	learn: 13.7239648	test: 37.4816776	best: 37.4665491 (5376)	total: 9.65s	remaining: 25s
5579:	learn: 13.7230677	test: 37.4794663	best: 37.4665491 (5376)	total: 9.66s	remaining: 25s
5580:	learn: 13.7217767	test: 37.4796011	best: 37.4665491 (5376)	total: 9.66s	remaining: 25s
5581:	learn: 13.7213394	test: 37.4780806	best: 37.4665491 (5376)	total: 9.66s	remaining: 25s
5582:	learn: 13.7197397	test: 37.4767291	best: 37.4665491 (5376)	total: 9.66s	remaining: 24.9s
5583:	learn: 13.7189659	test: 37.4767480	best: 37.4665491 (5376)	total: 9.66s	remaining: 24.9s
5584:	learn: 13.7186226	test: 37.4772374	best: 37.4665491 (5376)	total: 9.66s	remaining: 24.9s
5585:	learn: 13.7179229	test: 37.4773583	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5586:	learn: 13.7174601	test: 37.4778961	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5587:	learn: 13.7147079	test: 37.4757718	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5588:	learn: 13.7142332	test: 37.4758129	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5589:	learn: 13.7135586	test: 37.4755991	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5590:	learn: 13.7119388	test: 37.4745376	best: 37.4665491 (5376)	total: 9.67s	remaining: 24.9s
5591:	learn: 13.7097739	test: 37.4748527	best: 37.4665491 (5376)	total: 9.68s	remaining: 24.9s
5592:	learn: 13.7089852	test: 37.4746455	best: 37.4665491 (5376)	total: 9.68s	remaining: 24.9s
5593:	learn: 13.7075018	test: 37.4740274	best: 37.4665491 (5376)	total: 9.68s	remaining: 24.9s
5594:	learn: 13.7063570	test: 37.4707567	best: 37.4665491 (5376)	total: 9.68s	remaining: 24.9s
5595:	learn: 13.7057603	test: 37.4703926	best: 37.4665491 (5376)	total: 9.68s	remaining: 24.9s
5596:	learn: 13.7046363	test: 37.4706143	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5597:	learn: 13.7039531	test: 37.4705355	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5598:	learn: 13.7031191	test: 37.4704736	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5599:	learn: 13.7022487	test: 37.4689790	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5600:	learn: 13.7015591	test: 37.4670588	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5601:	learn: 13.6995897	test: 37.4668564	best: 37.4665491 (5376)	total: 9.69s	remaining: 24.9s
5602:	learn: 13.6992648	test: 37.4636158	best: 37.4636158 (5602)	total: 9.7s	remaining: 24.9s
5603:	learn: 13.6982108	test: 37.4640165	best: 37.4636158 (5602)	total: 9.7s	remaining: 24.9s
5604:	learn: 13.6976761	test: 37.4639663	best: 37.4636158 (5602)	total: 9.7s	remaining: 24.9s
5605:	learn: 13.6961537	test: 37.4625293	best: 37.4625293 (5605)	total: 9.7s	remaining: 24.9s
5606:	learn: 13.6947397	test: 37.4627795	best: 37.4625293 (5605)	total: 9.7s	remaining: 24.9s
5607:	learn: 13.6936762	test: 37.4631463	best: 37.4625293 (5605)	total: 9.7s	remaining: 24.9s
5608:	learn: 13.6933521	test: 37.4627532	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5609:	learn: 13.6927920	test: 37.4645010	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5610:	learn: 13.6918588	test: 37.4653726	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5611:	learn: 13.6911153	test: 37.4655781	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5612:	learn: 13.6907256	test: 37.4639637	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5613:	learn: 13.6898481	test: 37.4637685	best: 37.4625293 (5605)	total: 9.71s	remaining: 24.9s
5614:	learn: 13.6891442	test: 37.4622691	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5615:	learn: 13.6879848	test: 37.4626438	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5616:	learn: 13.6873282	test: 37.4653143	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5617:	learn: 13.6859894	test: 37.4650653	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5618:	learn: 13.6854275	test: 37.4655392	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5619:	learn: 13.6847477	test: 37.4655198	best: 37.4622691 (5614)	total: 9.72s	remaining: 24.9s
5620:	learn: 13.6833740	test: 37.4638873	best: 37.4622691 (5614)	total: 9.73s	remaining: 24.9s
5621:	learn: 13.6821955	test: 37.4635607	best: 37.4622691 (5614)	total: 9.73s	remaining: 24.9s
5622:	learn: 13.6804991	test: 37.4640705	best: 37.4622691 (5614)	total: 9.73s	remaining: 24.9s
5623:	learn: 13.6801307	test: 37.4633538	best: 37.4622691 (5614)	total: 9.73s	remaining: 24.9s
5624:	learn: 13.6798179	test: 37.4625387	best: 37.4622691 (5614)	total: 9.73s	remaining: 24.9s
5625:	learn: 13.6779617	test: 37.4611707	best: 37.4611707 (5625)	total: 9.73s	remaining: 24.9s
5626:	learn: 13.6774188	test: 37.4611538	best: 37.4611538 (5626)	total: 9.74s	remaining: 24.9s
5627:	learn: 13.6771078	test: 37.4598651	best: 37.4598651 (5627)	total: 9.74s	remaining: 24.9s
5628:	learn: 13.6760892	test: 37.4599284	best: 37.4598651 (5627)	total: 9.74s	remaining: 24.9s
5629:	learn: 13.6737521	test: 37.4600148	best: 37.4598651 (5627)	total: 9.74s	remaining: 24.9s
5630:	learn: 13.6733421	test: 37.4593273	best: 37.4593273 (5630)	total: 9.74s	remaining: 24.9s
5631:	learn: 13.6725278	test: 37.4595952	best: 37.4593273 (5630)	total: 9.74s	remaining: 24.9s
5632:	learn: 13.6713620	test: 37.4596091	best: 37.4593273 (5630)	total: 9.75s	remaining: 24.9s
5633:	learn: 13.6696630	test: 37.4610564	best: 37.4593273 (5630)	total: 9.75s	remaining: 24.9s
5634:	learn: 13.6683368	test: 37.4606408	best: 37.4593273 (5630)	total: 9.75s	remaining: 24.9s
5635:	learn: 13.6679623	test: 37.4604168	best: 37.4593273 (5630)	total: 9.75s	remaining: 24.9s
5636:	learn: 13.6663676	test: 37.4607870	best: 37.4593273 (5630)	total: 9.75s	remaining: 24.9s
5637:	learn: 13.6656695	test: 37.4617634	best: 37.4593273 (5630)	total: 9.76s	remaining: 24.8s
5638:	learn: 13.6648106	test: 37.4618247	best: 37.4593273 (5630)	total: 9.76s	remaining: 24.8s
5639:	learn: 13.6642409	test: 37.4611661	best: 37.4593273 (5630)	total: 9.76s	remaining: 24.8s
5640:	learn: 13.6629352	test: 37.4578548	best: 37.4578548 (5640)	total: 9.76s	remaining: 24.8s
5641:	learn: 13.6619444	test: 37.4541830	best: 37.4541830 (5641)	total: 9.76s	remaining: 24.8s
5642:	learn: 13.6606942	test: 37.4526923	best: 37.4526923 (5642)	total: 9.76s	remaining: 24.8s
5643:	learn: 13.6600638	test: 37.4533153	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5644:	learn: 13.6593574	test: 37.4542499	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5645:	learn: 13.6584620	test: 37.4537711	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5646:	learn: 13.6573031	test: 37.4529278	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5647:	learn: 13.6566081	test: 37.4528112	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5648:	learn: 13.6562257	test: 37.4563339	best: 37.4526923 (5642)	total: 9.77s	remaining: 24.8s
5649:	learn: 13.6547472	test: 37.4503301	best: 37.4503301 (5649)	total: 9.78s	remaining: 24.8s
5650:	learn: 13.6540508	test: 37.4475241	best: 37.4475241 (5650)	total: 9.78s	remaining: 24.8s
5651:	learn: 13.6530472	test: 37.4419794	best: 37.4419794 (5651)	total: 9.78s	remaining: 24.8s
5652:	learn: 13.6518586	test: 37.4424924	best: 37.4419794 (5651)	total: 9.78s	remaining: 24.8s
5653:	learn: 13.6509299	test: 37.4396672	best: 37.4396672 (5653)	total: 9.78s	remaining: 24.8s
5654:	learn: 13.6503255	test: 37.4388062	best: 37.4388062 (5654)	total: 9.79s	remaining: 24.8s
5655:	learn: 13.6493127	test: 37.4392316	best: 37.4388062 (5654)	total: 9.79s	remaining: 24.8s
5656:	learn: 13.6482830	test: 37.4391741	best: 37.4388062 (5654)	total: 9.79s	remaining: 24.8s
5657:	learn: 13.6480953	test: 37.4377147	best: 37.4377147 (5657)	total: 9.79s	remaining: 24.8s
5658:	learn: 13.6464994	test: 37.4368002	best: 37.4368002 (5658)	total: 9.79s	remaining: 24.8s
5659:	learn: 13.6459597	test: 37.4380383	best: 37.4368002 (5658)	total: 9.79s	remaining: 24.8s
5660:	learn: 13.6450987	test: 37.4366726	best: 37.4366726 (5660)	total: 9.79s	remaining: 24.8s
5661:	learn: 13.6434284	test: 37.4362925	best: 37.4362925 (5661)	total: 9.8s	remaining: 24.8s
5662:	learn: 13.6430294	test: 37.4363415	best: 37.4362925 (5661)	total: 9.8s	remaining: 24.8s
5663:	learn: 13.6417097	test: 37.4367916	best: 37.4362925 (5661)	total: 9.8s	remaining: 24.8s
5664:	learn: 13.6405389	test: 37.4342600	best: 37.4342600 (5664)	total: 9.8s	remaining: 24.8s
5665:	learn: 13.6400304	test: 37.4338708	best: 37.4338708 (5665)	total: 9.8s	remaining: 24.8s
5666:	learn: 13.6390537	test: 37.4332213	best: 37.4332213 (5666)	total: 9.81s	remaining: 24.8s
5667:	learn: 13.6375164	test: 37.4234798	best: 37.4234798 (5667)	total: 9.81s	remaining: 24.8s
5668:	learn: 13.6365132	test: 37.4230797	best: 37.4230797 (5668)	total: 9.81s	remaining: 24.8s
5669:	learn: 13.6357418	test: 37.4272298	best: 37.4230797 (5668)	total: 9.81s	remaining: 24.8s
5670:	learn: 13.6345876	test: 37.4303157	best: 37.4230797 (5668)	total: 9.81s	remaining: 24.8s
5671:	learn: 13.6339502	test: 37.4279175	best: 37.4230797 (5668)	total: 9.81s	remaining: 24.8s
5672:	learn: 13.6334005	test: 37.4277069	best: 37.4230797 (5668)	total: 9.82s	remaining: 24.8s
5673:	learn: 13.6314256	test: 37.4262862	best: 37.4230797 (5668)	total: 9.82s	remaining: 24.8s
5674:	learn: 13.6302239	test: 37.4260747	best: 37.4230797 (5668)	total: 9.82s	remaining: 24.8s
5675:	learn: 13.6296669	test: 37.4239420	best: 37.4230797 (5668)	total: 9.82s	remaining: 24.8s
5676:	learn: 13.6280966	test: 37.4226111	best: 37.4226111 (5676)	total: 9.82s	remaining: 24.8s
5677:	learn: 13.6270644	test: 37.4267904	best: 37.4226111 (5676)	total: 9.83s	remaining: 24.8s
5678:	learn: 13.6250542	test: 37.4214087	best: 37.4214087 (5678)	total: 9.83s	remaining: 24.8s
5679:	learn: 13.6241960	test: 37.4212532	best: 37.4212532 (5679)	total: 9.83s	remaining: 24.8s
5680:	learn: 13.6236120	test: 37.4209808	best: 37.4209808 (5680)	total: 9.83s	remaining: 24.8s
5681:	learn: 13.6216802	test: 37.4211937	best: 37.4209808 (5680)	total: 9.83s	remaining: 24.8s
5682:	learn: 13.6204659	test: 37.4234587	best: 37.4209808 (5680)	total: 9.84s	remaining: 24.8s
5683:	learn: 13.6196288	test: 37.4159075	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5684:	learn: 13.6190769	test: 37.4179185	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5685:	learn: 13.6182078	test: 37.4179790	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5686:	learn: 13.6175632	test: 37.4181663	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5687:	learn: 13.6164767	test: 37.4180026	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5688:	learn: 13.6161928	test: 37.4166958	best: 37.4159075 (5683)	total: 9.84s	remaining: 24.8s
5689:	learn: 13.6154260	test: 37.4133223	best: 37.4133223 (5689)	total: 9.85s	remaining: 24.8s
5690:	learn: 13.6137420	test: 37.4218520	best: 37.4133223 (5689)	total: 9.85s	remaining: 24.8s
5691:	learn: 13.6132387	test: 37.4193018	best: 37.4133223 (5689)	total: 9.85s	remaining: 24.8s
5692:	learn: 13.6126654	test: 37.4168024	best: 37.4133223 (5689)	total: 9.85s	remaining: 24.8s
5693:	learn: 13.6122692	test: 37.4163283	best: 37.4133223 (5689)	total: 9.85s	remaining: 24.8s
5694:	learn: 13.6095972	test: 37.4142632	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.8s
5695:	learn: 13.6086787	test: 37.4142640	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.8s
5696:	learn: 13.6080345	test: 37.4153577	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.8s
5697:	learn: 13.6077288	test: 37.4157383	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.8s
5698:	learn: 13.6068400	test: 37.4147848	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.7s
5699:	learn: 13.6059855	test: 37.4147813	best: 37.4133223 (5689)	total: 9.86s	remaining: 24.7s
5700:	learn: 13.6048663	test: 37.4200781	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5701:	learn: 13.6034745	test: 37.4263410	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5702:	learn: 13.6025914	test: 37.4302265	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5703:	learn: 13.6017632	test: 37.4307208	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5704:	learn: 13.6012220	test: 37.4327212	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5705:	learn: 13.5996513	test: 37.4321031	best: 37.4133223 (5689)	total: 9.87s	remaining: 24.7s
5706:	learn: 13.5987398	test: 37.4296328	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5707:	learn: 13.5977672	test: 37.4285247	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5708:	learn: 13.5959671	test: 37.4293593	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5709:	learn: 13.5942698	test: 37.4292162	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5710:	learn: 13.5935249	test: 37.4274628	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5711:	learn: 13.5920635	test: 37.4272748	best: 37.4133223 (5689)	total: 9.88s	remaining: 24.7s
5712:	learn: 13.5904647	test: 37.4288548	best: 37.4133223 (5689)	total: 9.89s	remaining: 24.7s
5713:	learn: 13.5895891	test: 37.4278324	best: 37.4133223 (5689)	total: 9.89s	remaining: 24.7s
5714:	learn: 13.5889137	test: 37.4258786	best: 37.4133223 (5689)	total: 9.89s	remaining: 24.7s
5715:	learn: 13.5877631	test: 37.4276896	best: 37.4133223 (5689)	total: 9.89s	remaining: 24.7s
5716:	learn: 13.5873388	test: 37.4275021	best: 37.4133223 (5689)	total: 9.89s	remaining: 24.7s
